HUC12,zone_int
200700000103,1
200700000205,2
200700000102,3
200600000101,4
200600000303,5
200600000201,6
200500000102,7
200500000401,8
200500000202,9
200500000201,10
200800000102,11
200700000501,12
200700000403,13
200700000302,14
200700000301,15
200600000503,16
200600000404,17
200600000504,18
200600000206,19
200500000203,20
200200000603,21
200200000701,22
200300000101,23
200200000604,24
200200000704,25
200200000703,26
200100001304,27
200200000307,28
200100001105,29
200100001203,30
200200000401,31
200200000101,32
200100001406,33
200800000101,34
200600000402,35
200600000202,36
200600000301,37
200500000403,38
200500000402,39
200400000402,40
200300000103,41
200200000103,42
200200000201,43
200200000502,44
200200000305,45
200200000501,46
200100001001,47
200100001503,48
200100001405,49
200100000808,50
200100000703,51
200100000201,52
200100000105,53
200100000102,54
200100000104,55
200100000101,56
200100001501,57
200100000103,58
200100000202,59
200100000702,60
200100000701,61
200600000502,62
200600000501,63
200600000104,64
200600000304,65
200600000105,66
200600000203,67
200600000207,68
200400000401,69
200400000300,70
200500000304,71
200500000302,72
200300000105,73
200200000702,74
200200000202,75
200200000503,76
200100001101,77
200100001201,78
200100001504,79
200100000905,80
200100000901,81
200100000805,82
200100000801,83
200100001407,84
200100000206,85
200100000303,86
200100000305,87
200100000501,88
200100001204,89
200700000101,90
200700000206,91
200700000202,92
200500000301,93
200300000104,94
200200000203,95
200200000302,96
200100001004,97
200100001102,98
200100001202,99
200100001103,100
200100001302,101
200200000308,102
200200000402,103
200100000902,104
200100000106,105
200100000204,106
200100000404,107
200100000304,108
200700000504,109
200700000304,110
200700000105,111
200600000506,112
200600000505,113
200600000103,114
200600000102,115
200600000401,116
200600000205,117
200400000101,118
200500000303,119
200500000204,120
200300000102,121
200200000602,122
200200000303,123
200100001003,124
200100001301,125
200100000906,126
200100000602,127
200800000105,128
200700000303,129
200600000405,130
200600000403,131
200600000305,132
200600000302,133
200500000101,134
200400000201,135
200200000705,136
200200000601,137
200200000504,138
200200000304,139
200100000907,140
200100001104,141
200100000904,142
200100000807,143
200100000806,144
200100000203,145
200100000407,146
200100000205,147
200100000301,148
200100000601,149
200100000503,150
200800000104,151
200800000103,152
200700000502,153
200700000503,154
200700000204,155
200700000104,156
200700000201,157
200600000204,158
200600000106,159
200500000103,160
200400000202,161
200400000102,162
200400000103,163
200200000102,164
200200000306,165
200200000301,166
200100001002,167
200100001502,168
200200000403,169
200100000903,170
200100000502,171
200100000302,172
200100000405,173
