zone_id,pixel_count_Imperv2011_2p4m_EMauiNui_clipped.tif,pixel_count_Imperv2011_2p4m_Kauai_clipped.tif,pixel_count_Imperv2011_2p4m_NorthHI_clipped.tif,pixel_count_Imperv2011_2p4m_NorthOahu_clipped.tif,pixel_count_Imperv2011_2p4m_SouthHI_clipped.tif,pixel_count_Imperv2011_2p4m_SouthOahu_clipped.tif,pixel_count_Imperv2011_2p4m_WMauiNui_clipped.tif
1,0,150627,0,0,0,0,0
2,0,322537,0,0,0,0,0
3,0,4900,0,0,0,0,0
4,0,0,0,228305,0,0,0
5,0,0,0,0,0,3407713,0
6,0,0,0,477686,0,0,0
7,0,0,0,0,0,0,120631
8,0,0,0,0,0,0,116256
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,39290
11,0,52667,0,0,0,0,0
12,0,515430,0,0,0,0,0
13,0,95986,0,0,0,0,0
14,0,427961,0,0,0,0,0
15,0,505430,0,0,0,0,0
16,0,0,0,687523,0,413373,0
17,0,0,0,8668,0,850501,0
18,0,0,0,329053,0,0,0
19,0,0,0,431314,0,1704330,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,883345
22,0,0,0,0,0,0,31153
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,144759
25,0,0,0,0,0,0,352753
26,0,0,0,0,0,0,508702
27,0,0,322324,0,78766,0,0
28,32331,0,0,0,0,0,0
29,0,0,195808,0,760432,0,0
30,0,0,17714,0,0,0,0
31,85277,0,0,0,0,0,0
32,0,0,0,0,0,0,89469
33,0,0,121236,0,0,0,0
34,0,25691,0,0,0,0,0
35,0,0,0,410078,0,646413,0
36,0,0,0,230974,0,0,0
37,0,0,0,0,0,1161158,0
38,0,0,0,0,0,0,27572
39,0,0,0,0,0,0,165370
40,0,0,0,0,0,0,4240
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,2117916
43,0,0,0,0,0,0,756729
44,0,0,0,0,0,0,13371
45,0,0,0,0,0,0,17307
46,1462,0,0,0,0,0,11346
47,0,0,0,0,27072,0,0
48,0,0,64561,0,0,0,0
49,0,0,586999,0,0,0,0
50,0,0,0,0,2253,0,0
51,0,0,0,0,113975,0,0
52,0,0,183196,0,0,0,0
53,0,0,0,0,0,0,0
54,0,0,80002,0,0,0,0
55,0,0,0,0,0,0,0
56,0,0,334845,0,0,0,0
57,0,0,116390,0,0,0,0
58,0,0,2475,0,0,0,0
59,0,0,103017,0,0,0,0
60,0,0,0,0,17968,0,0
61,0,0,0,0,38457,0,0
62,0,0,0,0,0,179389,0
63,0,0,0,0,0,864097,0
64,0,0,0,267125,0,0,0
65,0,0,0,0,0,3111514,0
66,0,0,0,29948,0,0,0
67,0,0,0,109706,0,0,0
68,0,0,0,0,0,654777,0
69,0,0,0,0,0,0,93074
70,0,0,0,0,0,0,243632
71,0,0,0,0,0,0,200130
72,0,0,0,0,0,0,53939
73,0,0,0,0,0,0,0
74,0,0,0,0,0,0,359608
75,0,0,0,0,0,0,874522
76,0,0,0,0,0,0,16207
77,0,0,0,0,199816,0,0
78,0,0,165232,0,0,0,0
79,0,0,82872,0,0,0,0
80,0,0,0,0,10979,0,0
81,0,0,0,0,25264,0,0
82,0,0,0,0,129385,0,0
83,0,0,0,0,8597,0,0
84,0,0,543874,0,0,0,0
85,0,0,94870,0,0,0,0
86,0,0,28238,0,0,0,0
87,0,0,187139,0,0,0,0
88,0,0,2818,0,769965,0,0
89,0,0,105594,0,109,0,0
90,0,44195,0,0,0,0,0
91,0,1074251,0,0,0,0,0
92,0,634379,0,0,0,0,0
93,0,0,0,0,0,0,39332
94,0,0,0,0,0,0,0
95,0,0,0,0,0,0,670647
96,0,0,0,0,0,0,90981
97,0,0,0,0,156361,0,0
98,0,0,0,0,1211986,0,0
99,0,0,118671,0,0,0,0
100,0,0,0,0,719323,0,0
101,0,0,85245,0,0,0,0
102,63622,0,0,0,0,0,0
103,40657,0,0,0,0,0,0
104,0,0,0,0,214231,0,0
105,0,0,39571,0,0,0,0
106,0,0,124690,0,0,0,0
107,0,0,172450,0,0,0,0
108,0,0,303351,0,0,0,0
109,0,25327,0,0,0,0,0
110,0,152172,0,0,0,0,0
111,0,283360,0,0,0,0,0
112,0,0,0,38961,0,0,0
113,0,0,0,298909,0,0,0
114,0,0,0,206941,0,0,0
115,0,0,0,1590720,0,0,0
116,0,0,0,53852,0,4057947,0
117,0,0,0,1230646,0,877065,0
118,0,0,0,0,0,0,23601
119,0,0,0,0,0,0,29407
120,0,0,0,0,0,0,3948
121,0,0,0,0,0,0,0
122,0,0,0,0,0,0,667805
123,0,0,0,0,0,0,61536
124,0,0,0,0,183673,0,0
125,0,0,227562,0,0,0,0
126,0,0,0,0,55949,0,0
127,0,0,0,0,32833,0,0
128,0,59827,0,0,0,0,0
129,0,193198,0,0,0,0,0
130,0,0,0,0,0,3113083,0
131,0,0,0,2692201,0,1635443,0
132,0,0,0,0,0,2730702,0
133,0,0,0,0,0,1744946,0
134,0,0,0,0,0,0,37345
135,0,0,0,0,0,0,0
136,0,0,0,0,0,0,168334
137,0,0,0,0,0,0,766761
138,0,0,0,0,0,0,27384
139,0,0,0,0,0,0,41391
140,0,0,0,0,754633,0,0
141,0,0,0,0,519460,0,0
142,0,0,0,0,50288,0,0
143,0,0,0,0,25773,0,0
144,0,0,0,0,8100,0,0
145,0,0,345119,0,0,0,0
146,0,0,783735,0,2096723,0,0
147,0,0,225129,0,0,0,0
148,0,0,179482,0,0,0,0
149,0,0,0,0,379682,0,0
150,0,0,0,0,2037063,0,0
151,0,49492,0,0,0,0,0
152,0,5917,0,0,0,0,0
153,0,57947,0,0,0,0,0
154,0,25658,0,0,0,0,0
155,0,380092,0,0,0,0,0
156,0,356090,0,0,0,0,0
157,0,210129,0,0,0,0,0
158,0,0,0,558714,0,0,0
159,0,0,0,322452,0,0,0
160,0,0,0,0,0,0,124026
161,0,0,0,0,0,0,91603
162,0,0,0,0,0,0,10656
163,0,0,0,0,0,0,12207
164,0,0,0,0,0,0,173636
165,1039,0,0,0,0,0,18881
166,0,0,0,0,0,0,544155
167,0,0,0,0,153211,0,0
168,0,0,245017,0,0,0,0
169,35634,0,0,0,0,0,0
170,0,0,0,0,10002,0,0
171,0,0,0,0,958108,0,0
172,0,0,50036,0,0,0,0
173,0,0,151575,0,168039,0,0
